Title,Authors,LastName
Sistemi operativi,"Abraham Silberschatz, Peter Baer Galvin",Silberschatz
Algoritmi spiegati in modo facile: Guida illustrata per programmatori curiosi,Aditya Y. Bhargava,Bhargava
Poemi dalla negritudine,"Aimé Césaire, Damas Leon-Gontran, Diop Birago, Jean Joseph Rabearivelo, Léopold Sédar Senghor",Césaire
Il significato della relatività,Albert Einstein,Einstein
Algebra e matematica discreta,Alberto Facchini,Facchini
Gli indifferenti,Alberto Moravia,Moravia
La figlia del Capitano,Aleksandr Sergeevič Puškin,Puškin
La battaglia. Storia di Waterloo,Alessandro Barbero,Barbero
Conan: Il ragazzo del futuro,Alexander Key,Key
Matematica numerica,"Alfio Quarteroni, Riccardo Sacco, Fausto Saleri",Quarteroni
"Matematica numerica: metodi, algoritmi e software",Almerico Murli,Murli
Alan Turing. Storia di un enigma,Andrew Hodges,Hodges
Distributed Systems: Principles and Paradigms,"Andrew S. Tanenbaum, Maarten van Steen",Tanenbaum
Agnes Grey,Anne Brontë,Brontë
Beowulf,Anonimo,Anonimo
Il Corano,Anonimo,Anonimo
La Bibbia,Anonimo,Anonimo
Il Piccolo Principe,Antoine de Saint-Exupéry,Saint-Exupéry
Chiara,Antonella Lattanzi,Lattanzi
Un primo corso in probabilità. Per scienze pure e applicate,Antonio Di Crescenzo,Di Crescenzo
Il mondo perduto,Arthur Conan Doyle,Doyle
Il territorio delle nebbie,Arthur Conan Doyle,Doyle
La macchina disintegratrice,Arthur Conan Doyle,Doyle
La nube avvelenata,Arthur Conan Doyle,Doyle
Quando la Terra urlò,Arthur Conan Doyle,Doyle
Sherlock Holmes: a Study in Scarlet,Arthur Conan Doyle,Doyle
The Sign of the Four: A Sherlock Holmes Mystery,Arthur Conan Doyle,Doyle
Presagio triste,Banana Yoshimoto,Yoshimoto
Il replicante di Sigmund Freud,Barry Nathaniel Malzberg,Malzberg
Maniac,Benjamín Labatut,Labatut
Quando abbiamo smesso di capire il mondo,Benjamín Labatut,Labatut
Nuoto da campioni. I programmi dell’allenatore numero 1 al mondo,"Bill Sweetenham, John Atkinson",Sweetenham
Dracula,Bram Stoker,Stoker
Il maestro e Margherita,Michail Afanas'evič Bulgakov,Bulgakov
Cristo si è fermato a Eboli,Carlo Levi,Levi Carlo
L’ordine del tempo,Carlo Rovelli,Rovelli
"Ottimizzazione. Teoria, metodi, applicazioni",Carlo Vercellis,Vercellis
Core Java Volume I – Fundamentals,"Cay S. Horstmann, Gary Cornell",Horstmann
